Participant ID,Participant Cohort,IPA Age Band,Task Eligible,FTM,Calendly FTM Matched Age Band,Calendly Assignment Year,Calendly Assignment Rule,Calendly Host Raw,Calendly Appointment Date,Calendly Assignment Date,Calendly Event UUID,Calendly Invitee UUID,Calendly Match Method,Calendly FTM QA Flag,Assignment Source
CGT416-01-A,3-20 year,11_17yr,TRUE,Amy,11_17yr,2026,Invitee name/email fallback,Amy Scharmen-Burgdolf,2026-03-13,2026-03-10,7451db87-40f3-4ddf-86a1-297c0d5fae67,c1c7864c-38c5-466e-aa16-2b0020ccca2f,invitee_child_name,,Calendly host - Invitee name/email fallback
PBG796-01-A,3-20 year,11_17yr,TRUE,Amy,11_17yr,2025,Invitee name/email fallback,Amy Scharmen-Burgdolf,2025-08-17,2025-07-10,295b92a1-46bf-45e7-903d-4a02982d86e6,65c2bd9e-8cb0-42f4-95eb-bedbd19c08f8,invitee_email,,Calendly host - Invitee name/email fallback
TGY183-01-A,3-20 year,11_17yr,TRUE,Amy,6_10yr,2026,Invitee name/email fallback,Amy Scharmen-Burgdolf,2026-03-15,2026-03-08,8dd43a98-0a1d-4d0d-bb0b-d1df9a7652e1,7f7ae89f-80b2-40e2-af9c-ac95032687e9,invitee_email,,Calendly host - Invitee name/email fallback
WKR328-01-A,3-20 year,11_17yr,TRUE,Amy,11_17yr,2026,Invitee name/email fallback,Amy Scharmen-Burgdolf,2026-03-13,2026-03-06,d562b055-d3e4-47d9-a620-b9c45209734d,4a3d91b9-b53a-4d7f-9b9f-daf7f652a232,invitee_email,,Calendly host - Invitee name/email fallback
ZSB509-01-A,3-20 year,11_17yr,TRUE,Amy,11_17yr,2025,Invitee name/email fallback,Amy Scharmen-Burgdolf,2025-12-07,2025-11-11,314eb9bb-152b-4d24-9dc9-e93967eb9ece,0a618014-374b-45e9-90e5-c7de217d7557,invitee_email,,Calendly host - Invitee name/email fallback
JMR655-01-A,3-20 year,11_17yr,TRUE,Cassie,6_10yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-06-16,2025-06-06,bb0d00f4-d72d-4801-8e8f-255db3e95c4f,031069f8-fc13-4506-8fa9-86d2a652e0bd,invitee_child_name,,Calendly host - Invitee name/email fallback
JQT482-01-A,3-20 year,11_17yr,TRUE,Cassie,6_10yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-11-17,2025-11-11,0f8267f5-af96-4789-ba81-9371cf1c924b,239b5f71-da4f-47e4-8de8-ac03187c82ef,invitee_email,,Calendly host - Invitee name/email fallback
JVX699-01-A,3-20 year,11_17yr,TRUE,Cassie,11_17yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-11-17,2025-11-10,ac242455-e569-4e9c-9b05-a1739da1f014,12b3f115-93ba-49ff-a500-0ee7170cb578,invitee_email,,Calendly host - Invitee name/email fallback
NBV813-01-A,3-20 year,11_17yr,TRUE,Cassie,11_17yr,2026,Invitee name/email fallback,Cassie Nickerson,2026-03-30,2026-03-06,4a6f5f6e-5193-4792-97e3-e8e305be913d,e1a649d9-57fe-4bf7-9851-7b4355b910d3,invitee_email,,Calendly host - Invitee name/email fallback
QGS042-01-A,3-20 year,11_17yr,TRUE,Cassie,11_17yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-07-14,2025-07-07,8b3edab5-28f1-43d2-9c7a-52e0c7aa8aac,b6806e26-4a5d-44a8-9213-d8d226e40a8a,invitee_email,,Calendly host - Invitee name/email fallback
VST318-01-A,3-20 year,11_17yr,TRUE,Cassie,11_17yr,2026,Invitee name/email fallback,Cassie Nickerson,2026-03-31,2026-03-11,8b7b472b-d2b3-49e8-a0fc-aa0b471a455c,5107a792-f665-4cfb-bd70-c92fc515d1ce,invitee_email,,Calendly host - Invitee name/email fallback
WQP768-01-A,3-20 year,11_17yr,TRUE,Cassie,11_17yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-11-08,2025-11-03,20ab23a8-e4f0-40bc-9983-01917f22b582,f0967d1e-21a5-44d7-9870-41384d12039e,invitee_child_name,,Calendly host - Invitee name/email fallback
XRM042-01-A,3-20 year,11_17yr,TRUE,Cassie,11_17yr,2026,Invitee name/email fallback,Cassie Nickerson,2026-03-16,2026-03-09,f1cfb369-495e-4691-9a32-4663d1d9c702,41b37cf7-1389-4fc7-85dd-aec41509739c,invitee_child_name,,Calendly host - Invitee name/email fallback
YNZ000-01-A,3-20 year,11_17yr,TRUE,Cassie,6_10yr,2026,Invitee name/email fallback,Cassie Nickerson,2026-03-09,2026-03-07,946be3c6-b3dd-4810-9819-1c0cc8ddb4ec,8e36cab9-4079-4309-b190-f0458a23b1cb,invitee_email,,Calendly host - Invitee name/email fallback
FFQ157-01-A,3-20 year,11_17yr,TRUE,Jo,6_10yr,2025,Invitee name/email fallback,Jolyn Lerma,2025-06-18,2025-06-11,25d060ba-8ecf-4eee-bcc9-48537f6a4986,1f4f3aa4-03dd-41b8-b4de-2419d05c673e,invitee_email,,Calendly host - Invitee name/email fallback
MRG352-01-A,3-20 year,11_17yr,TRUE,Jo,11_17yr,2025,Invitee name/email fallback,Jolyn Lerma,2025-12-11,2025-10-14,7d5bacc0-74a6-44be-9a9c-ebe4c6c68f68,c8d54287-edf2-41b9-bdad-b82531fc6719,invitee_email,,Calendly host - Invitee name/email fallback
PRD366-01-A,3-20 year,11_17yr,TRUE,Jo,11_17yr,2025,Invitee name/email fallback,Jolyn Lerma,2025-06-18,2025-06-12,55321247-fefe-4cc0-9933-388cb5e77936,17608908-8269-46f6-8f18-47f8baa2aa70,invitee_email,,Calendly host - Invitee name/email fallback
GSW122-01-A,3-20 year,11_17yr,TRUE,Jody,11_17yr,2025,Invitee name/email fallback,Jody Kendall,2025-10-20,2025-10-13,5e7b953e-f45e-41dd-9d02-6758c2f38c44,9c47d0b6-9181-4220-8b9d-88bc649bc1cc,invitee_email,,Calendly host - Invitee name/email fallback
YYJ169-01-A,3-20 year,11_17yr,TRUE,Toye,6_10yr,2026,Invitee name/email fallback,Shetoye  Rice,2026-03-19,2026-03-11,53e9939e-ae8a-47ef-a16e-852228ac284a,a26217e3-47a8-4508-94db-d35d7754f340,invitee_child_name,,Calendly host - Invitee name/email fallback
LHD338-01-A,3-20 year,18_20yr,TRUE,Amy,11_17yr,2025,Invitee name/email fallback,Amy Scharmen-Burgdolf,2025-08-14,2025-07-20,481d521e-c58a-4b18-9e55-2f2ace99fbd4,6162f9f9-a859-4924-a443-9c060f3a9bb8,invitee_email,,Calendly host - Invitee name/email fallback
GTK652-01-A,3-20 year,18_20yr,TRUE,Cassie,11_17yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-06-16,2025-06-10,37840ea9-431f-4301-b42d-02d460fa82ee,b6a2f696-e773-4fc0-bd22-0bccbf5ffd20,invitee_email,,Calendly host - Invitee name/email fallback
QPJ289-01-A,3-20 year,18_20yr,TRUE,Cassie,11_17yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-07-13,2025-06-12,4a6e697f-5ebd-4282-90a3-7c4377293bb1,6cc57150-0a92-4bfa-add6-f2c1b9c2130b,invitee_email,,Calendly host - Invitee name/email fallback
SFL447-01-A,3-20 year,18_20yr,TRUE,Cassie,11_17yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-07-20,2025-06-14,545d40ce-d46e-49c6-8ffc-865c8fd5ef38,31e43de8-7d47-4d48-ac60-31a37251f4c5,invitee_child_name,,Calendly host - Invitee name/email fallback
LTR526-01-A,3-20 year,3_5yr,TRUE,Amy,24_35_month,2025,Invitee name/email fallback,Amy Scharmen-Burgdolf,2025-10-24,2025-10-03,d53aba34-c6f1-432f-b72a-d3add5cfde6a,77b788ce-bef7-42a9-85e8-8950024fe72f,invitee_email,,Calendly host - Invitee name/email fallback
VDF655-01-A,3-20 year,3_5yr,TRUE,Anna,3_5yr,2026,Invitee name/email fallback,Anna VanTubergen,2026-04-08,2026-03-31,a305fbd1-4016-426a-ba0d-faaf1cb7ef91,2957dcc0-9bdc-4662-b43a-d1a2537a0214,invitee_email,,Calendly host - Invitee name/email fallback
JKF478-01-A,3-20 year,3_5yr,TRUE,Cassie,24_35_month,2025,Invitee name/email fallback,Cassie Nickerson,2025-10-10,2025-09-24,0c8a0ac3-cca8-4fbb-b7ce-e45f4e890fea,438e02be-c63a-4b46-84f8-f2dab18d78a5,invitee_email,,Calendly host - Invitee name/email fallback
KNB361-01-A,3-20 year,3_5yr,TRUE,Cassie,24_35_month,2025,Invitee name/email fallback,Cassie Nickerson,2025-08-06,2025-07-11,cfce6961-5c0e-4eaf-8919-f1a69eba2500,f67a126a-4d4d-4d21-a27b-2b05c6ed4c6d,invitee_email,,Calendly host - Invitee name/email fallback
KRH534-01-A,3-20 year,3_5yr,TRUE,Cassie,3_5yr,2025,Invitee name/email fallback,Cassie Nickerson,2025-11-21,2025-11-18,8e94910c-7122-44fb-9229-5d77f9d7565f,0fecfb33-4430-4c46-b5fb-a32faf331e93,invitee_email,,Calendly host - Invitee name/email fallback
CMC548-01-A,3-20 year,3_5yr,TRUE,Jody,24_35_month,2025,Invitee name/email fallback,Jody Kendall,2025-08-09,2025-07-09,f1e69442-d815-400d-a221-82c8551be003,4923b348-110b-498b-aac7-d0c3c169d4f7,invitee_email,,Calendly host - Invitee name/email fallback
HQL715-01-A,3-20 year,3_5yr,TRUE,Jody,24_35_month,2025,Invitee name/email fallback,Jody Kendall,2025-08-25,2025-08-06,940609d6-a8b5-49eb-9087-581cd89ca5e8,85d3c9df-4e40-4d5e-8d75-d3fdd90bb735,invitee_email,,Calendly host - Invitee name/email fallback
HYF628-01-A,3-20 year,3_5yr,TRUE,Jody,24_35_month,2025,Invitee name/email fallback,Jody Kendall,2025-08-12,2025-07-27,98815543-87ef-4332-b733-266ac49491a2,724753fb-5808-429e-9e64-19f79896eb4a,invitee_email,,Calendly host - Invitee name/email fallback
SWX990-01-A,3-20 year,3_5yr,TRUE,Jody,24_35_month,2025,Invitee name/email fallback,Jody Kendall,2025-11-17,2025-10-06,413127f6-b7a4-4ba9-97fd-0b697e47fb32,f96f4bc2-9afe-4dae-a624-0e0eb669c96c,invitee_email,,Calendly host - Invitee name/email fallback
HSB243-01-A,3-20 year,3_5yr,TRUE,Toye,24_35_month,2025,Invitee name/email fallback,Shetoye  Rice,2025-09-16,2025-08-27,b36ac5ba-e855-46d7-b4d9-c535fdb8aec8,18855467-74fd-4089-9309-decce64e7dd7,invitee_email,,Calendly host - Invitee name/email fallback
LYC422-01-A,3-20 year,3_5yr,TRUE,Toye,3_5yr,2026,Invitee name/email fallback,Shetoye  Rice,2026-08-18,2026-06-18,eea73a7a-3c1b-4f93-b122-dc13a458ab9e,a2df0908-915e-41bb-bce5-2e93ddad3ee4,invitee_email,,Calendly host - Invitee name/email fallback
MBS013-01-A,3-20 year,3_5yr,TRUE,Toye,3_5yr,2026,Invitee name/email fallback,Shetoye  Rice,2026-08-18,2026-06-10,508b81a2-4eb3-49a7-843f-037fde9225d9,6af7b447-161b-4cc7-8dee-877d25e4ea4a,invitee_email,,Calendly host - Invitee name/email fallback
SRC249-01-A,3-20 year,3_5yr,TRUE,Toye,3_5yr,2025,Invitee name/email fallback,Shetoye  Rice,2025-12-16,2025-12-06,eda3ed17-9c47-41ab-ae78-c9b9de6d8c79,75fce910-2ab0-487b-8277-d3569450981d,invitee_email,,Calendly host - Invitee name/email fallback
XMR094-01-A,3-20 year,3_5yr,TRUE,Toye,3_5yr,2026,Invitee name/email fallback,Shetoye  Rice,2026-06-10,2026-05-19,ccdc2f11-ec54-4b3f-a477-a14aedd67d0e,4c83b099-e00c-436c-8ec0-6aee4e9b0141,invitee_email,,Calendly host - Invitee name/email fallback
YXX723-01-A,3-20 year,3_5yr,TRUE,Toye,24_35_month,2025,Invitee name/email fallback,Shetoye  Rice,2025-11-25,2025-11-19,8ab6a5e7-f034-49cb-8937-a72c27ea4e1b,9527574e-25b9-4f1c-931c-248a2f68570f,invitee_email,,Calendly host - Invitee name/email fallback
ZKX281-01-A,3-20 year,3_5yr,TRUE,Toye,24_35_month,2025,Invitee name/email fallback,Shetoye  Rice,2025-10-28,2025-10-23,0f049cb2-c8af-4b0b-9119-2fbe6e513c8e,f14814d8-ffeb-4ade-801c-8a97c0621c7a,invitee_email,,Calendly host - Invitee name/email fallback
CVW990-01-A,3-20 year,6_10yr,TRUE,Amy,6_10yr,2025,Invitee name/email fallback,Amy Scharmen-Burgdolf,2025-10-14,2025-09-27,b7eadaa7-cb50-43fa-bd5b-d802e6896fe6,2d90612e-d215-479d-a78b-d53e968e03c7,invitee_child_name,,Calendly host - Invitee name/email fallback
LPG974-01-A,3-20 year,6_10yr,TRUE,Amy,6_10yr,2025,Invitee name/email fallback,Amy Scharmen-Burgdolf,2025-11-07,2025-10-27,78df3b83-fb32-4b9f-80c6-a53032232812,065fbbba-9430-4f52-9948-9db63ee1bee6,invitee_email,,Calendly host - Invitee name/email fallback
TXF197-01-A,3-20 year,6_10yr,TRUE,Amy,6_10yr,2026,Invitee name/email fallback,Amy Scharmen-Burgdolf,2026-04-12,2026-03-10,bcf60066-b6f9-44c4-9d23-ae03b23a7f03,64a3e2ff-2f16-4798-8639-e267c6686bef,invitee_email,,Calendly host - Invitee name/email fallback
XGC495-01-A,3-20 year,6_10yr,TRUE,Amy,3_5yr,2025,Invitee name/email fallback,Amy Scharmen-Burgdolf,2025-08-20,2025-08-13,7e08bd21-fb56-4e27-9e24-d1fa8cf6f5fd,7dd891c4-aba7-423f-80a5-90a3673a37a5,invitee_child_name,,Calendly host - Invitee name/email fallback
FFM260-01-A,3-20 year,6_10yr,TRUE,Breanna,3_5yr,2025,Invitee name/email fallback,Breanna Kornatowski,2025-09-25,2025-09-15,d45be3db-ae9b-4a52-8368-2d26443ac287,a0ae7d1d-f6ca-4fde-8bde-512ba2a6c68d,invitee_mother_name,,Calendly host - Invitee name/email fallback
HMP017-01-A,3-20 year,6_10yr,TRUE,Breanna,6_10yr,2025,Invitee name/email fallback,Breanna Kornatowski,2025-08-08,2025-07-24,b8cbe18b-4d69-4117-a0e0-3dca14881799,3f8690ee-38d2-4e1b-8583-3ff2685c3fb1,invitee_email,,Calendly host - Invitee name/email fallback
